Hash,From,To,Value (ETH),Gas,Gas Price (ETH)
0xc0148886426527d72cd8a27b97cbdb14f7c16aa00c4dd916258740a3896dc966,0xde2faca4bbc0aca08ff04d387c39b6f6325bf82a,0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,0,0x13880,0.000000006784195539
0x29f549d99a7c0e0ed4486d5452ae21f34a8b82c36353bdd6df41b5c1af9cf730,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x35d14,0.000000004964604262
0x168eeab4ba82b0543e7e78d9aaf3061d9809e3a049f38caa3292b260e0b85028,0x458434c99b804d229b3859208e0bedc66dc855c3,0xaec2e87e0a235266d9c5adc9deb4b2e29b54d009,0,0x30be2,0.000000004364604262
0x599c22318ea0544fc5700e9d238c928585d15affeac6884af55cb4e3cca1c78a,0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0,0x33450,0.000000004964604262
0x2a10efcaf44f2384818a1c3350f510c9d56e13d3adb3e22b83347bc621cbbb60,0x2603b0711c3a121a82d813c40464c9767eda1f44,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,0x15f90,0.000000004307661529
0xdee1b6c29d3b747ba161a402d502e98bc2d78db2ce4208d62ab953153b0fa1a3,0xe41ce72eb274e5234e8c292721a578639d930dcd,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xc69f,0.000000005
0xd547160d1e815dfc071717a76721f39d899ed201f66ad42b92a1b9e60de6eb73,0xd2ccd81570cc8ee0e8542a38b1c99716b9ddf991,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xc69f,0.000000005
0x2f97099ab30a14dfa514b56fd84b6e796c3d34200b31b067fc9ebf4c5226efd9,0x560606106df4631d21aedd36cc99291c4624f8c9,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xc69f,0.000000005
0xe95dc9b3ac41ec3d3a8ce1ee662045e3af5b7a1ef82d3c3ff915f2bdded93408,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x8f8221afbb33998d8584a2b05749ba73c37a938a,0,0x32918,0.000000004964604262
0xb06812841ded93cff4ba6d6e496d4fb03bd20425940a4673442ca23a5ccc9b42,0xdf899a960ad64c2ddcb59ebf0a30c2104841cd53,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x186a0,0.000000004454712863
0x56b09318d9c3e2779d1cd954b162e7698da5004a59053c01e9c1518ff04cd203,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,0x0b95993a39a363d99280ac950f5e4536ab5c5566,0.014,0x103a8,0.000000004364604262
0x0b778b7e3c9cd5383c57e6feef28bc99b5f6eb85a91bd28b738cf696f7a6ad50,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x4803f774a77e6aaa339507c9da5c41de680ce26e,0.0295041529,0x5208,0.000000004964604262
0xcc8a3ee7d816d3f0a47e2b448db193e60b9db5a14b1f1c96363a0eaa17b9d51b,0x1a1c87d9a6f55d3bbb064bff1059ad37b6bdc097,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0,0x30d40,0.000000003592845157
0x3921f2383b75a31ddbdf28c83646ab7eedb44e305ef3aa6adf3ceb0b2521dbc5,0x381c3ff9d031b517809ef5f95557882233e6dbb5,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x135f9,0.000000002998354717
0xf38dfd6c5d14483bbe04f68468ae677b7a2300cc93683de77a2afe2b8f78f5e0,0x8e868cbd7023306003b56fa4a0ca6f85cbf2afab,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,3.007937,0x5208,0.000000003
0xc63255c90466215449f7c54c901c69b10b0dff2ec40042f13e8d1b48ebd38099,0xbec9c6ec58a532cd8aca0af9ce28bf814651b917,0x408e41876cccdc0f92210600ef50372656052a38,0,0xaff2,0.000000002964605702
0x1a2501defbd938021f633e1c2039d72ab88db48cd276b250e5f5b760837ff3a2,0xf2244410ff84594c362de4698f565fad68364ba0,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x23b31,0.000000002964605462
0xed7cac293cc8cebe2cef538ce0ff151f649a831c5593150397f74d504029e841,0x06c417a02e39d1eaf24b94c60878279e9da8175c,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x14820,0.000000002964605462
0x080d4b9869152e02552d4185acec15e59fee8ef4a4b3723283958c7afae60f75,0x236da00e1eda1473c485669cf7674a7c56e786bb,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x14820,0.000000002964605269
0xcf03319c96fb51dde82bb387822d26738564f7fa7124f76ff2f10b6bbc32f51b,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0x15f90,0.000000004964604262
